,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2011-12-28,12.01,11.8,12.25,11.58,130223,154859404.0,5.23,-7.81,-1.0,38.49
1,2011-12-29,11.41,11.37,11.6,11.26,77022,87876274.0,2.88,-3.64,-0.43,22.77
2,2011-12-30,11.41,11.55,11.98,11.38,70792,82412553.0,5.28,1.58,0.18,20.93
3,2012-01-04,11.56,10.99,11.65,10.98,46437,52520645.0,5.8,-4.85,-0.56,13.73
4,2012-01-05,10.89,10.22,10.89,10.15,41295,43327212.0,6.73,-7.01,-0.77,12.21
5,2012-01-06,10.21,10.37,10.45,10.02,25962,26517079.0,4.21,1.47,0.15,7.67
6,2012-01-09,10.3,10.77,10.84,10.18,35254,37258603.0,6.36,3.86,0.4,10.42
7,2012-01-10,10.77,11.17,11.24,10.63,52552,57692872.0,5.66,3.71,0.4,15.53
8,2012-01-11,11.11,11.01,11.23,10.96,31574,35039613.0,2.42,-1.43,-0.16,9.33
9,2012-01-12,10.96,10.86,11.14,10.81,22584,24754238.0,3.0,-1.36,-0.15,6.68
10,2012-01-13,10.86,10.29,10.94,10.26,21840,23024931.0,6.26,-5.25,-0.57,6.46
11,2012-01-16,10.1,10.08,10.25,10.05,12053,12236804.0,1.94,-2.04,-0.21,3.56
12,2012-01-17,10.12,10.64,10.68,10.08,21068,21998948.0,5.95,5.56,0.56,6.23
13,2012-01-18,10.63,10.34,10.98,10.3,23813,25371836.0,6.39,-2.82,-0.3,7.04
14,2012-01-19,10.34,10.55,10.62,10.29,13015,13654702.0,3.19,2.03,0.21,3.85
15,2012-01-20,10.55,10.67,10.71,10.52,14372,15313132.0,1.8,1.14,0.12,4.25
16,2012-01-30,10.69,10.64,10.87,10.62,17138,18412888.0,2.34,-0.28,-0.03,5.07
17,2012-01-31,10.61,10.62,10.64,10.45,11050,11656650.0,1.79,-0.19,-0.02,3.27
18,2012-02-01,10.59,10.52,10.72,10.48,11931,12633808.0,2.26,-0.94,-0.1,3.53
19,2012-02-02,10.53,10.68,10.68,10.5,10851,11505852.0,1.71,1.52,0.16,3.21
20,2012-02-03,10.66,10.84,10.88,10.64,22615,24367177.0,2.25,1.5,0.16,6.68
21,2012-02-06,10.89,10.79,10.93,10.74,15034,16253566.0,1.75,-0.46,-0.05,4.44
22,2012-02-07,10.72,10.66,10.89,10.63,17368,18690577.0,2.41,-1.2,-0.13,5.13
23,2012-02-08,10.72,10.9,10.92,10.61,21454,23210417.0,2.91,2.25,0.24,6.34
24,2012-02-09,10.95,11.1,11.2,10.88,40765,45216936.0,2.94,1.83,0.2,12.05
25,2012-02-10,11.11,11.13,11.15,11.0,24710,27398523.0,1.35,0.27,0.03,7.3
26,2012-02-13,11.01,11.21,11.27,10.96,22982,25675868.0,2.79,0.72,0.08,6.79
27,2012-02-14,11.19,11.16,11.22,11.05,14360,15974309.0,1.52,-0.45,-0.05,4.24
28,2012-02-15,11.12,11.3,11.33,11.12,22286,25035561.0,1.88,1.25,0.14,6.59
29,2012-02-16,11.32,11.18,11.35,11.07,19022,21343017.0,2.48,-1.06,-0.12,5.62
30,2012-02-17,11.19,11.08,11.27,10.95,16443,18216936.0,2.86,-0.89,-0.1,4.86
31,2012-02-20,11.23,11.15,11.24,11.1,20154,22553794.0,1.26,0.63,0.07,5.96
32,2012-02-21,11.13,11.3,11.3,11.05,18603,20837073.0,2.24,1.35,0.15,5.5
33,2012-02-22,11.25,11.65,11.67,11.25,40157,46210325.0,3.72,3.1,0.35,11.87
34,2012-02-23,11.61,11.63,11.91,11.58,33648,39394217.0,2.83,-0.17,-0.02,9.95
35,2012-02-24,11.68,11.75,11.79,11.62,26768,31341065.0,1.46,1.03,0.12,7.91
36,2012-02-27,11.8,12.08,12.5,11.75,51904,62891524.0,6.38,2.81,0.33,15.34
37,2012-02-28,11.99,12.75,12.87,11.92,73534,91698035.0,7.86,5.55,0.67,21.74
38,2012-03-01,12.28,12.5,12.75,12.02,38691,48162798.0,5.73,-1.96,-0.25,11.44
39,2012-03-02,12.49,12.61,12.64,12.37,36183,45296964.0,2.16,0.88,0.11,10.7
40,2012-03-05,12.61,13.09,13.2,12.56,68317,88507494.0,5.08,3.81,0.48,20.19
41,2012-03-06,12.99,12.74,13.08,12.62,43562,55880986.0,3.51,-2.67,-0.35,12.88
42,2012-03-07,12.55,12.43,12.84,12.35,30500,38399898.0,3.85,-2.43,-0.31,9.02
43,2012-03-08,12.51,12.63,12.79,12.51,24402,30883454.0,2.25,1.61,0.2,7.21
44,2012-03-09,12.67,12.86,12.93,12.57,26027,33180949.0,2.85,1.82,0.23,7.69
45,2012-03-12,12.91,12.78,13.07,12.61,28432,36580683.0,3.58,-0.62,-0.08,8.4
46,2012-03-13,12.78,13.15,13.35,12.67,42929,55894705.0,5.32,2.9,0.37,12.69
47,2012-03-14,13.12,12.3,13.26,12.15,49432,63216529.0,8.44,-6.46,-0.85,14.61
48,2012-03-15,12.3,12.28,12.53,11.9,25667,31361630.0,5.12,-0.16,-0.02,7.59
49,2012-03-16,12.3,12.5,12.5,12.13,20058,24762535.0,3.01,1.79,0.22,5.93
50,2012-03-19,12.4,12.58,12.6,12.33,16492,20558473.0,2.16,0.64,0.08,4.87
51,2012-03-20,12.58,12.06,12.58,12.02,19930,24409355.0,4.45,-4.13,-0.52,5.89
52,2012-03-21,12.1,12.21,12.3,11.9,15753,19074120.0,3.32,1.24,0.15,4.66
53,2012-03-22,12.22,12.17,12.28,12.08,10150,12362636.0,1.64,-0.33,-0.04,3.0
54,2012-03-23,12.07,11.79,12.17,11.7,14947,17822416.0,3.86,-3.12,-0.38,4.42
55,2012-03-26,11.83,11.9,11.94,11.75,7075,8367828.0,1.61,0.93,0.11,2.09
56,2012-03-27,11.9,11.8,12.05,11.77,7333,8750089.0,2.35,-0.84,-0.1,2.17
57,2012-03-28,11.77,11.12,11.78,11.08,15427,17497053.0,5.93,-5.76,-0.68,3.65
58,2012-03-29,11.02,10.77,11.17,10.66,16875,18383676.0,4.59,-3.15,-0.35,4.0
59,2012-03-30,10.8,10.55,10.83,10.48,17461,18498428.0,3.25,-2.04,-0.22,4.13
