日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2015-12-07,45.0,45.0,45.0,45.0,10,45000.0,0.0,0.0,0.0,0.0
2015-12-08,45.0,45.0,45.0,45.0,40,180000.0,0.0,0.0,0.0,0.01
2015-12-09,0.45,32.21,45.0,0.45,110,354350.0,99.0,-28.42,-12.79,0.01
2015-12-14,21.17,21.17,21.17,21.17,380,804460.0,0.0,-34.28,-11.04,0.05
2015-12-15,21.17,21.17,21.17,21.17,330,698610.0,0.0,0.0,0.0,0.04
2015-12-17,11.07,11.07,11.07,11.07,950,1051650.0,0.0,-47.71,-10.1,0.12
2015-12-21,38.0,38.0,38.0,38.0,20,76000.0,0.0,243.27,26.93,0.0
2015-12-22,3.85,3.85,38.0,3.85,240,160626.0,89.87,-89.87,-34.15,0.03
2015-12-23,3.85,3.85,3.85,3.85,113,43616.0,0.0,0.0,0.0,0.01
2015-12-24,3.85,3.85,3.85,3.85,725,279125.0,0.0,0.0,0.0,0.09
2015-12-25,3.85,3.85,3.85,3.85,2994,1152620.0,0.0,0.0,0.0,0.38
2015-12-29,3.85,4.73,30.0,3.85,3550,1680550.0,679.22,22.86,0.88,0.45
2015-12-30,31.0,31.0,31.0,31.0,10,31000.0,0.0,555.39,26.27,0.0
2016-01-11,18.88,14.88,18.88,6.32,4900,7292300.0,40.52,-52.0,-16.12,0.61
2016-01-12,28.0,28.0,28.0,28.0,20,56000.0,0.0,88.17,13.12,0.0
2016-01-13,28.0,28.0,28.0,28.0,10,28000.0,0.0,0.0,0.0,0.0
2016-01-14,18.88,10.04,18.88,1.0,13850,13901000.0,63.86,-64.14,-17.96,1.74
2016-01-15,18.88,18.88,18.88,18.88,6000,11328000.0,0.0,88.05,8.84,0.75
2016-01-21,1.0,1.0,1.0,1.0,5810,581000.0,0.0,-94.7,-17.88,0.73
2016-01-22,30.0,30.0,30.0,30.0,10,30000.0,0.0,2900.0,29.0,0.0
2016-01-25,11.07,11.07,11.07,11.07,360,398520.0,0.0,-63.1,-18.93,0.05
2016-01-27,1.0,30.0,30.0,1.0,5183,1553356.0,261.97,171.0,18.93,0.65
2016-01-28,11.07,11.33,30.0,3.0,10410,6942900.0,90.0,-62.23,-18.67,1.31
2016-01-29,25.95,24.51,25.97,24.0,780,1915370.0,17.39,116.33,13.18,0.1
2016-02-02,24.5,24.0,24.5,23.3,150,355260.0,4.9,-2.08,-0.51,0.02
2016-02-03,24.0,24.0,24.0,24.0,10,24000.0,0.0,0.0,0.0,0.0
2016-02-04,24.05,24.0,24.05,22.95,40,95050.0,4.58,0.0,0.0,0.01
2016-02-05,23.2,24.0,24.0,22.9,50,115900.0,4.58,0.0,0.0,0.01
2016-02-15,24.05,23.0,24.05,22.89,60,139790.0,4.83,-4.17,-1.0,0.01
2016-02-16,23.12,22.13,23.23,22.13,160,366950.0,4.78,-3.78,-0.87,0.02
2016-02-17,22.13,21.04,22.13,21.04,50,106670.0,4.93,-4.93,-1.09,0.01
