,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2020-07-31,12.28,19.6,19.6,12.28,2540,4089174.0,78.71,110.75,10.3,0.49
1,2020-08-31,21.56,42.4,50.5,21.56,2433264,10073050067.0,147.65,116.33,22.8,471.2
2,2020-09-30,41.28,34.65,41.98,32.01,1718264,6433568234.0,23.51,-18.28,-7.75,332.74
3,2020-10-30,35.6,35.15,44.07,35.0,1293537,4983010292.0,26.18,1.44,0.5,250.49
4,2020-11-30,35.04,36.05,43.52,35.0,1344916,5276203290.0,24.24,2.56,0.9,260.44
5,2020-12-31,36.39,29.53,37.57,27.86,520954,1694281431.0,26.93,-18.09,-6.52,100.88
6,2021-01-29,29.4,28.06,30.3,23.7,514706,1384872506.0,22.35,-4.98,-1.47,99.67
7,2021-02-26,27.51,26.6,28.96,23.1,279422,729240848.0,20.88,-5.2,-1.46,54.11
8,2021-03-31,26.47,25.95,29.41,24.78,398099,1071955604.0,17.41,-2.44,-0.65,77.09
9,2021-04-30,25.75,24.35,29.89,24.1,411186,1117372637.0,22.31,-6.17,-1.6,79.63
10,2021-05-31,24.35,25.0,26.9,24.1,203920,513913669.0,11.5,2.67,0.65,39.49
11,2021-06-30,24.81,27.92,29.7,24.81,709210,1937491188.0,19.56,11.68,2.92,137.34
12,2021-07-30,27.96,27.93,33.99,25.8,810443,2315217156.0,29.33,0.04,0.01,57.18
13,2021-08-31,27.79,25.3,30.85,25.05,488681,1393219871.0,20.77,-9.42,-2.63,34.48
14,2021-09-30,25.3,23.37,28.2,22.01,205874,522601511.0,24.47,-7.63,-1.93,14.52
15,2021-10-29,23.58,23.87,25.88,23.06,115981,281355617.0,12.07,2.14,0.5,8.18
16,2021-11-30,23.85,27.44,28.93,23.73,391068,1043625500.0,21.78,14.96,3.57,27.59
17,2021-12-31,27.25,28.96,38.88,27.03,2909627,9664561398.0,43.19,5.54,1.52,205.28
18,2022-01-28,29.09,34.12,35.6,27.12,1149128,3514556641.0,29.28,17.82,5.16,81.07
19,2022-02-28,34.35,28.26,36.66,27.49,775282,2444615337.0,26.88,-17.17,-5.86,54.7
20,2022-03-31,28.18,23.34,28.58,22.92,415500,1057503018.0,20.03,-17.41,-4.92,29.31
21,2022-04-29,23.18,18.07,23.76,16.0,247079,491931692.0,33.25,-22.58,-5.27,17.43
22,2022-05-13,18.07,19.0,19.42,17.74,88669,167472450.0,9.3,5.15,0.93,6.26
