,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2017-08-25,10.54,18.5,18.5,10.54,305,482148.0,90.66,110.71,9.72,0.11
1,2017-09-01,20.35,29.8,29.8,20.35,2024,5552613.0,51.08,61.08,11.3,0.76
2,2017-09-08,32.78,48.0,48.0,32.78,17948,76291248.0,51.07,61.07,18.2,6.73
3,2017-09-12,52.8,58.08,58.08,52.41,196870,1092481712.0,11.81,21.0,10.08,73.82
4,2017-09-22,53.28,59.49,66.77,52.3,419594,2469702208.0,24.91,2.43,1.41,157.33
5,2017-09-29,56.22,47.58,60.32,43.6,445599,2252504912.0,28.11,-20.02,-11.91,167.08
6,2017-10-13,47.4,48.49,50.36,43.1,319044,1508643402.0,15.26,1.91,0.91,119.63
7,2017-10-20,52.7,50.94,55.93,45.19,586523,2963734512.0,22.15,5.05,2.45,219.92
8,2017-10-27,50.74,46.5,54.0,46.5,311381,1534810570.0,14.72,-8.72,-4.44,116.75
9,2017-11-03,45.8,43.03,45.87,42.18,208859,916756224.0,7.94,-7.46,-3.47,78.31
10,2017-11-10,43.63,44.79,46.56,42.66,218597,983313988.0,9.06,4.09,1.76,81.96
11,2017-11-17,44.5,44.3,52.51,44.05,369640,1800061251.0,18.89,-1.09,-0.49,138.6
12,2017-11-24,42.1,35.7,44.0,35.24,191571,775225077.0,19.77,-19.41,-8.6,71.83
13,2017-12-01,35.7,37.65,39.04,34.08,184479,683368338.0,13.89,5.46,1.95,69.17
14,2017-12-08,36.8,39.48,41.48,34.32,286284,1093624991.0,19.02,4.86,1.83,107.34
15,2017-12-15,39.3,40.6,41.59,38.32,229574,924375138.0,8.28,2.84,1.12,86.08
16,2017-12-22,40.62,41.73,43.24,38.22,263544,1089476438.0,12.36,2.78,1.13,98.82
17,2017-12-29,41.81,43.0,46.57,41.0,309884,1343750685.0,13.35,3.04,1.27,116.19
18,2018-01-05,43.96,42.15,45.17,41.5,158710,683415223.0,8.53,-1.98,-0.85,59.51
19,2018-01-12,42.26,42.85,44.49,39.92,203717,858734430.0,10.84,1.66,0.7,76.38
20,2018-01-19,42.86,44.3,46.3,39.05,275927,1200961979.0,16.92,3.38,1.45,103.46
21,2018-01-26,44.0,43.32,48.08,40.5,304947,1354092035.0,17.11,-2.21,-0.98,114.34
22,2018-02-02,43.66,34.62,44.03,33.0,174027,694111188.0,25.46,-20.08,-8.7,65.25
