日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2015-04-24,12.57,13.83,13.83,12.57,566,725700.0,14.43,58.42,5.1,0.21
2015-04-30,15.21,20.24,20.24,15.21,1362,2567184.0,36.37,46.35,6.41,0.52
2015-05-08,22.26,30.11,32.19,22.26,350998,995816913.0,49.06,48.76,9.87,132.95
2015-05-15,30.0,48.49,48.49,29.31,418272,1554953027.0,63.7,61.04,18.38,158.44
2015-05-22,53.34,78.09,78.09,49.0,237035,1448301721.0,59.99,61.04,29.6,89.79
2015-05-29,85.9,88.36,114.33,83.09,169719,1530091111.0,40.01,13.15,10.27,64.29
2015-06-05,84.0,66.75,84.7,64.2,391098,2845019584.0,23.2,-24.46,-21.61,148.14
2015-06-12,66.74,66.35,75.69,59.58,365474,2427680629.0,24.13,-0.6,-0.4,138.44
2015-06-19,63.03,48.13,63.06,47.1,230676,1284997246.0,24.05,-27.46,-18.22,87.38
2015-06-26,48.58,44.39,53.16,43.66,172067,847421280.0,19.74,-7.77,-3.74,65.18
2015-07-03,45.7,32.84,46.4,31.54,204884,805996251.0,33.48,-26.02,-11.55,77.61
2015-07-10,36.12,32.23,36.12,23.98,123813,378461040.0,36.97,-1.86,-0.61,46.9
2015-07-17,35.3,36.93,39.0,31.59,250918,905898039.0,22.99,14.58,4.7,95.04
2015-07-24,36.8,43.27,47.0,35.2,320330,1325380892.0,31.95,17.17,6.34,121.34
2015-07-31,41.29,43.53,45.1,34.2,283014,1132141358.0,25.19,0.6,0.26,107.2
2015-08-07,42.7,43.08,48.0,41.62,290998,1294853865.0,14.66,-1.03,-0.45,110.23
2015-08-14,43.49,46.46,48.2,43.0,169134,770208270.0,12.07,7.85,3.38,64.07
2015-08-21,46.0,54.15,54.15,36.61,236310,1110077846.0,37.75,16.55,7.69,89.51
2015-08-28,53.49,60.9,65.96,47.96,448388,2540186800.0,33.24,12.47,6.75,169.84
2015-09-02,57.95,44.4,57.95,44.4,139162,704868087.0,22.25,-27.09,-16.5,52.71
2015-09-11,44.4,44.29,48.75,37.66,222984,969670164.0,24.98,-0.25,-0.11,84.46
2015-09-18,44.5,32.78,44.67,32.41,306859,1112285130.0,27.68,-25.99,-11.51,116.23
2015-09-25,31.43,32.49,37.09,31.01,249191,861675808.0,18.55,-0.88,-0.29,94.39
2015-09-30,32.53,32.23,33.86,31.61,70468,230291491.0,6.93,-0.8,-0.26,26.69
2015-10-09,34.0,34.78,35.88,33.3,71107,245716717.0,8.0,7.91,2.55,26.93
2015-10-12,34.89,38.26,38.26,34.73,55119,200750294.0,10.15,10.01,3.48,20.88
2015-10-30,42.09,39.6,46.0,38.81,177199,755182944.0,18.79,3.5,1.34,67.12
2015-11-06,38.31,44.34,45.0,37.8,246788,1043714442.0,18.18,11.97,4.74,93.48
2015-11-13,45.02,49.99,58.0,44.4,335996,1668533632.0,30.67,12.74,5.65,127.27
2015-11-20,47.12,48.4,51.46,45.02,203341,980098870.0,12.88,-3.18,-1.59,77.02
2015-11-27,48.08,47.18,53.34,46.1,204949,1021800917.0,14.96,-2.52,-1.22,77.63
2015-12-04,46.62,54.73,59.02,43.58,299892,1592590886.0,32.73,16.0,7.55,113.6
2015-12-11,53.64,48.82,57.63,48.31,195959,1027400351.0,17.03,-10.8,-5.91,74.23
2015-12-18,48.02,51.8,53.77,47.06,156744,803191652.0,13.74,6.1,2.98,59.37
2015-12-25,51.5,50.43,53.6,49.3,127267,649907596.0,8.3,-2.64,-1.37,48.21
2015-12-31,50.5,48.31,50.92,48.02,64398,315838249.0,5.75,-4.2,-2.12,24.39
2016-01-08,48.1,38.06,48.24,34.61,82462,341095485.0,28.21,-21.22,-10.25,31.24
2016-01-15,36.6,35.49,38.5,33.25,101416,365162626.0,13.79,-6.75,-2.57,38.42
2016-01-22,34.0,37.08,39.39,34.0,107443,398234027.0,15.19,4.48,1.59,40.7
2016-01-29,37.08,33.27,37.9,30.81,77097,264255396.0,19.12,-10.28,-3.81,29.2
2016-02-05,32.4,34.24,37.0,31.82,62425,212949710.0,15.57,2.92,0.97,23.65
2016-02-19,32.6,36.33,37.08,32.6,78453,278511163.0,13.08,6.1,2.09,29.72
2016-02-26,36.44,33.23,37.88,32.29,77466,275645980.0,15.39,-8.53,-3.1,29.34
2016-03-04,32.7,31.08,34.27,29.95,58159,185950954.0,13.0,-6.47,-2.15,22.03
2016-03-11,31.39,32.36,33.6,30.04,43523,138016807.0,11.45,4.12,1.28,16.49
2016-03-18,32.38,34.35,34.5,31.45,79075,262767098.0,9.43,6.15,1.99,29.95
2016-03-25,34.95,36.91,38.5,34.33,107389,388684848.0,12.14,7.45,2.56,40.68
2016-04-01,37.1,39.43,40.38,34.75,109493,411821083.0,15.25,6.83,2.52,41.47
2016-04-08,38.98,36.56,41.0,35.9,124707,482959087.0,12.93,-7.28,-2.87,47.24
2016-04-15,36.67,40.56,41.0,36.62,166118,641518042.0,11.98,10.94,4.0,62.92
2016-04-22,40.28,38.31,42.5,37.38,198162,789747832.0,12.62,-5.55,-2.25,75.06
2016-04-29,35.61,35.92,37.64,34.8,124415,454132807.0,7.41,-6.24,-2.39,21.89
2016-05-06,35.86,37.07,38.0,35.8,136875,508693126.0,6.12,3.2,1.15,24.08
2016-05-13,36.84,32.81,36.84,32.51,101452,352779004.0,11.68,-11.49,-4.26,17.85
2016-05-20,32.75,32.67,33.44,31.99,64739,212057190.0,4.42,-0.43,-0.14,11.39
2016-05-27,32.88,32.91,33.41,31.72,52167,171538387.0,5.17,0.73,0.24,9.18
2016-06-03,32.8,34.91,35.28,32.2,76238,261116428.0,9.36,6.08,2.0,13.41
2016-06-08,35.15,35.55,36.1,34.65,68127,242130564.0,4.15,1.83,0.64,11.99
2016-06-17,35.34,37.4,38.33,33.21,178306,654058018.0,14.4,5.2,1.85,31.37
2016-06-24,37.25,39.92,41.1,37.25,235726,931922755.0,10.29,6.74,2.52,41.47
2016-07-01,39.65,44.63,47.0,39.51,233387,1029501485.0,18.76,11.8,4.71,36.49
2016-07-08,43.66,49.53,50.98,42.69,175456,805761470.0,18.57,10.98,4.9,27.43
2016-07-15,49.6,47.89,51.5,46.11,136929,666440839.0,10.88,-3.31,-1.64,21.41
2016-07-22,48.38,47.2,48.6,45.67,74858,350759200.0,6.12,-1.44,-0.69,11.7
2016-07-29,46.52,45.88,48.75,45.12,98136,464370776.0,7.69,-2.8,-1.32,15.34
2016-08-05,46.22,46.51,46.6,43.8,47237,211805887.0,6.1,1.37,0.63,7.39
2016-08-12,46.45,45.76,47.48,45.0,33135,153209899.0,5.33,-1.61,-0.75,5.18
2016-08-19,45.77,46.54,46.89,45.02,60048,275773800.0,4.09,1.7,0.78,9.39
2016-08-26,46.5,45.58,50.99,45.0,123073,579351495.0,12.87,-2.06,-0.96,19.24
2016-09-02,45.2,45.16,46.0,44.66,40452,184169116.0,2.94,-0.92,-0.42,6.32
2016-09-09,45.17,44.71,45.52,44.32,49945,224443865.0,2.66,-1.0,-0.45,7.81
2016-09-14,44.44,45.16,45.98,42.5,35924,159627116.0,7.78,1.01,0.45,5.62
2016-09-23,45.0,46.45,47.2,44.8,54071,250446117.0,5.31,2.86,1.29,8.45
2016-09-30,46.5,44.63,46.8,44.0,28663,129615032.0,6.03,-3.92,-1.82,4.48
2016-10-14,45.15,48.99,49.65,44.91,95488,457945276.0,10.62,9.77,4.36,14.93
2016-10-21,49.36,48.98,49.65,47.0,60253,291069126.0,5.41,-0.02,-0.01,9.42
2016-10-28,48.6,50.32,50.63,48.0,78975,391250438.0,5.37,2.74,1.34,12.35
2016-11-04,50.0,49.68,51.0,49.18,114549,573634967.0,3.62,-1.27,-0.64,17.91
2016-11-11,49.9,55.32,57.07,49.72,157168,820717018.0,14.79,11.35,5.64,24.57
2016-11-17,55.32,56.96,58.0,54.2,113633,638393111.0,6.87,2.96,1.64,17.77
2016-11-25,62.66,61.63,66.1,59.0,391178,2437610240.0,12.46,8.2,4.67,61.16
2016-12-02,62.33,55.07,67.79,55.0,707847,4398780848.0,20.75,-10.64,-6.56,110.67
2016-12-09,54.11,53.81,57.93,52.29,345973,1915662662.0,10.24,-2.29,-1.26,54.09
2016-12-16,53.9,51.59,54.3,48.21,254646,1292680663.0,11.32,-4.13,-2.22,39.81
2016-12-23,51.29,52.14,53.67,49.07,207680,1056412245.0,8.92,1.07,0.55,32.47
2016-12-30,51.49,50.25,53.58,49.9,206105,1069058218.0,7.06,-3.62,-1.89,32.22
2017-01-06,50.45,47.55,52.36,47.3,124627,626322023.0,10.07,-5.37,-2.7,19.49
2017-01-13,47.28,45.73,48.35,45.36,112481,530377103.0,6.29,-3.83,-1.82,17.59
2017-01-20,45.2,42.66,45.7,40.44,91117,387098714.0,11.5,-6.71,-3.07,14.25
2017-01-26,42.89,43.87,44.48,42.5,62653,272508891.0,4.64,2.84,1.21,9.8
2017-02-03,44.24,43.78,44.8,43.7,9690,42733462.0,2.51,-0.21,-0.09,1.51
2017-02-10,43.7,44.84,46.6,43.07,89939,401085564.0,8.06,2.42,1.06,14.06
2017-02-17,45.07,44.35,46.35,44.2,86305,394085414.0,4.79,-1.09,-0.49,13.49
2017-02-24,44.39,45.53,46.36,43.45,96560,437948943.0,6.56,2.66,1.18,15.1
2017-03-03,45.7,44.7,45.91,43.72,101264,455454193.0,4.81,-1.82,-0.83,15.83
2017-03-10,44.7,46.77,47.5,44.67,113175,517371103.0,6.33,4.63,2.07,17.69
2017-03-17,46.49,46.92,48.0,45.61,136593,636385753.0,5.11,0.32,0.15,21.36
2017-03-24,46.81,47.16,48.29,46.7,116013,550047991.0,3.39,0.51,0.24,18.14
